term_id	source_term	p2_cn_term	current_cn_term	category	source_evidence	decision	priority	notes
p2_sand_pest	Sand Pest	沙疫	沙疫	disease	VM PlagueIntro line 60; VM Sandbox line 1354	accept_as_secondary	high	Matches official demo baseline; useful cross-check only.
p2_polyhedron	Polyhedron	多面体		district_building	ChineseInterface line 29; VM Sandbox line 1354	accept_as_secondary	high	Likely stable established term; verify against P3 keys before master import.
p2_termitary	Termitary / Termitnik	白蚁巢		location	ChineseInterface line 32; VM Sandbox line 285	accept_as_secondary	medium	Good candidate if P3 uses the same Kin building concept.
p2_bachelor	Bachelor	学者	学者	character_title	VM PlagueIntro line 38; master glossary demo_npcs_danko_name	accept_as_secondary	high	Matches demo baseline.
p2_changeling	Changeling	换生灵	换生灵	character_title	VM PlagueIntro line 190; master glossary demo_npcs_changeling_name	accept_as_secondary	high	Matches demo baseline.
p2_executor	Executor	执行者	处刑人	character_title	VM PlagueIntro line 44; ChineseInterface line 73	accepted_override	high	Do not override official demo baseline 处刑人.
p2_haruspex	Haruspex	肠卜师	肠卜师	character_title	ChineseInterface line 27; master glossary demo_npcs_burakh_name	accepted_override	high	User override 2026-04-28/29: Haruspex -> 肠卜师.
p2_georgiy_kain	Georgiy Kain	乔尔基·凯恩	格奥尔基·凯恩	character_name	VM Sandbox line 2; master glossary demo_npcs_georgiykain_name	accepted_override	high	Official demo baseline should win.
p2_saburov	Saburov	萨普洛夫	萨布罗夫	character_name	VM Sandbox line 46; master glossary demo_npcs_saburov_name	accepted_override	high	Official demo baseline should win.
p2_bad_grief	Bad Grief	恶徒格里夫	恶徒格里夫	character_name	VM Sandbox lines 82, 90; master glossary demo_npcs_grief_name	review_conflict	medium	May be useful for tone, but not as a name override.
p2_soul_and_half	Soul-and-a-Half	魂与半灵		child_group	VM Sandbox lines 21, 31; ChineseInterface line 7	review_gap	medium	Useful if P3 contains this child-group name; confirm source term before import.
p2_tincture	Tincture	酊剂		medicine	VM Sandbox lines 253, 638; ChineseInterface line 100	accept_as_secondary	medium	Good medical gameplay candidate; compare with P3 terminology.
p2_panacea	Panacea	万灵药		medicine	VM Sandbox lines 644, 821; ChineseInterface line 2187	accept_as_secondary	medium	Useful but review register and lore context.
p2_immunity_booster	Immunity booster	免疫增强剂		medicine	VM Sandbox lines 265, 362, 379	accept_as_secondary	medium	Useful gameplay term; confirm P3 UI phrasing.
p2_kin	Kin	金族人 / 金族		faction	VM HaruspexIntro line 67; VM Sandbox many lines	review_gap	high	Promising but needs consistency with P3/demo Steppe terminology.
p2_udurgh	Udurgh / eighth body concept	巫毒		lore	review sample VM Sandbox line 1454	reject_term	high	Semantically risky; do not import without independent lore review.
p2_twyrine	Twyrine	蓷薾		herb	VM HaruspexIntro lines 231, 236	review_gap	low	Rare term; verify against P3 strings and official references.
p2_shelter	The Shelter	庇护所	庇护所	location	VM Sandbox lines 64, 67; ChineseInterface line 18	accept_as_secondary	medium	Appears stable; still let demo/P3 context lead.
p2_term_immunity	Immunity	免疫		ui_stat	ChineseInterface lines 49, 309	accept_as_secondary	low	Common UI term; not distinctive.
p2_term_infection	Infection	感染		ui_stat	ChineseInterface lines 50, 310	accept_as_secondary	low	Common UI term; not distinctive.
